,TCONST,TITLE,YEAR,BECHDEL,SCORES,VOTES,BUDGETS,RELEASED_DAY,RELEASED_MON,RELEASED_YEAR,COUNTRY,WINNER
259,tt0047472,seven brides for seven brothers,1954,1,7.4,19619,2540000,6,8,1954,USA,0
260,tt0048424,the night of the hunter,1955,0,8,75829,795000,24,11,1955,Argentina,0
261,tt0046911,diabolique,1955,1,8.1,57294,1789546,21,11,1955,USA,0
262,tt0048473,pather panchali,1955,1,8.5,19509,14613,26,8,1955,India,0
263,tt0048641,smiles of a summer night,1955,1,7.9,11172,45006,23,12,1957,USA,0
264,tt0048028,east of eden,1955,0,7.9,37136,5130555,10,4,1955,USA,0
265,tt0047849,bad day at black rock,1955,0,7.7,17533,1271000,15,5,1955,Japan,0
266,tt0048021,rififi,1955,1,8.2,23143,200000,5,6,1956,USA,0
267,tt0048261,kiss me deadly,1955,0,7.6,16872,410000,8,5,1955,USA,0
268,tt0048545,rebel without a cause,1955,1,7.7,76534,1500000,29,10,1955,USA,0
269,tt0047892,bob le flambeur,1956,0,7.8,9463,2962912,24,8,1956,France,0
270,tt0049902,a man escaped,1956,0,8.2,16190,3960000,26,8,1957,USA,0
271,tt0049966,written on the wind,1956,0,7.5,9158,285666,25,12,1956,USA,0
272,tt0048956,aparajito,1956,1,8.2,9728,62455,11,10,1956,India,0
273,tt0049012,the burmese harp,1956,0,8.1,4945,1420000,28,4,1967,USA,0
274,tt0049366,invasion of the body snatchers,1956,1,7.8,41141,417000,5,2,1956,USA,0
275,tt0049261,giant,1956,1,7.7,31390,5400000,24,11,1956,USA,0
276,tt0049833,the ten commandments,1956,0,7.9,57914,13282712,5,10,1956,USA,0
277,tt0049406,the killing,1956,1,8,74110,320000,6,6,1956,USA,0
278,tt0049730,the searchers,1956,0,8,73645,3750000,26,5,1956,USA,0
279,tt0050419,funny face,1957,1,7.1,24150,3000000,25,4,1957,UK,0
280,tt0050371,a face in the crowd,1957,1,8.2,12223,1855000,1,6,1957,USA,0
281,tt0051036,sweet smell of success,1957,1,8.1,24629,2600000,4,7,1957,USA,0
282,tt0050825,paths of glory,1957,1,8.4,158946,935000,1,11,1957,West Germany,0
283,tt0050613,throne of blood,1957,1,8.1,40131,2380000,22,11,1961,USA,0
284,tt0050986,wild strawberries,1957,1,8.2,85098,3250000,22,6,1959,USA,0
285,tt0050783,nights of cabiria,1957,1,8.1,39032,250000,16,10,1957,France,0
286,tt0050976,the seventh seal,1957,0,8.2,144931,150000,13,10,1958,USA,0
287,tt0050083,12 angry men,1957,1,8.9,603296,350000,10,4,1957,USA,0
288,tt0051994,a night to remember,1958,0,7.9,12446,1680000,16,12,1958,USA,0
289,tt0051790,"ivan the terrible, part two",1958,0,7.8,6164,2574000,24,11,1959,USA,0
290,tt0051459,cat on a hot tin roof,1958,1,8,40960,3000000,29,8,1958,USA,0
291,tt0051554,horror of dracula,1958,1,7.4,18817,81000,16,6,1958,UK,0
292,tt0052311,touch of evil,1958,1,8,93162,829000,23,4,1958,USA,0
293,tt0052357,vertigo,1958,1,8.3,324099,2479000,21,7,1958,Brazil,0
294,tt0050706,mon oncle,1958,1,7.8,16882,110000,3,11,1958,USA,0
295,tt0051525,the defiant ones,1958,0,7.7,11997,778000,27,9,1958,USA,0
296,tt0052080,ashes and diamonds,1958,0,7.9,9336,1565648,29,5,1961,USA,0
297,tt0053221,rio bravo,1959,1,8,51343,3690000,4,4,1959,USA,0
298,tt0053291,some like it hot,1959,1,8.2,223022,2883848,14,4,1959,Japan,0
299,tt0053125,north by northwest,1959,1,8.3,274719,3101000,26,9,1959,Japan,0
300,tt0052561,anatomy of a murder,1959,1,8,54462,4000200,1,7,1959,USA,0
301,tt0053198,the 400 blows,1959,0,8.1,93136,444000,16,11,1959,USA,0
302,tt0052893,hiroshima mon amour,1959,0,8,25075,2500000,16,5,1960,USA,0
303,tt0053226,room at the top,1959,0,7.6,4601,280000,22,1,1959,UK,0
304,tt0052572,the world of apu,1959,0,8.4,9983,90500,4,10,1960,USA,0
305,tt0053168,pickpocket,1959,0,7.8,17245,2630000,16,12,1959,France,0
306,tt0054248,rocco and his brothers,1960,1,8.3,14503,390000,26,6,1961,USA,0
307,tt0054215,psycho,1960,1,8.5,544154,806947,8,9,1960,USA,0
308,tt0054167,peeping tom,1960,1,7.7,27260,135000,15,5,1962,USA,0
309,tt0054269,saturday night and sunday morning,1960,0,7.6,6913,100000,3,4,1961,USA,0
310,tt0054331,spartacus,1960,1,7.9,114145,12000000,17,11,1960,Brazil,0
311,tt0053619,l'avventura,1960,0,7.9,23167,3920000,4,3,1961,USA,0
312,tt0053779,la dolce vita,1960,1,8.1,59459,6500000,19,4,1961,USA,0
313,tt0053472,breathless,1960,1,7.9,65151,220000,7,2,1961,USA,0
314,tt0054389,shoot the piano player,1960,1,7.6,15607,150719,23,7,1962,USA,0
315,tt0054698,breakfast at tiffany's,1961,0,7.7,152520,2500000,6,10,1961,USA,0
316,tt0055630,yojimbo,1961,1,8.3,99434,4888000,13,9,1961,USA,0
317,tt0055506,a taste of honey,1961,1,7.6,4265,121602,30,4,1962,USA,0
318,tt0055093,lola,1961,1,7.6,4373,70000,14,10,1962,USA,0
319,tt0055601,viridiana,1961,0,8.2,19910,5300111,19,3,1962,USA,0
320,tt0054632,last year at marienbad,1961,0,7.9,18142,4788000,7,3,1962,USA,0
321,tt0055499,through a glass darkly,1961,1,8.1,20129,7888444,16,10,1961,Sweden,0
